Date,Open,High,Low,Close,Volume
Mon Jul 06 2015 01:40:00 GMT-0400 (EDT),270.4,271.33,270.4,270.68,19.883754350000007
Mon Jul 06 2015 01:35:00 GMT-0400 (EDT),270.06,270.4,270.06,270.4,1.8767000000000003
Mon Jul 06 2015 01:30:00 GMT-0400 (EDT),270.31,270.36,269.85,270.05,8.4391
Mon Jul 06 2015 01:25:00 GMT-0400 (EDT),269.54,270.36,269.54,270.36,75.16210000000002
Mon Jul 06 2015 01:20:00 GMT-0400 (EDT),269.98,269.98,269.01,269.54,79.87669999999999
Mon Jul 06 2015 01:15:00 GMT-0400 (EDT),269.09,270.06,269.09,269.98,31.336499999999994
Mon Jul 06 2015 01:10:00 GMT-0400 (EDT),269.08,269.1,268.92,269.1,9.2061
Mon Jul 06 2015 01:05:00 GMT-0400 (EDT),269.08,269.08,268.81,269.07,9.553199999999999
Mon Jul 06 2015 01:00:00 GMT-0400 (EDT),269.03,269.17,269.03,269.09,10.4193
Mon Jul 06 2015 00:55:00 GMT-0400 (EDT),269.18,269.8,269.01,269.13,47.11860965000002
Mon Jul 06 2015 00:50:00 GMT-0400 (EDT),269.56,269.98,269.17,269.74,58.949849999999984
Mon Jul 06 2015 00:45:00 GMT-0400 (EDT),269.34,269.58,268.8,269.58,21.342399999999994
Mon Jul 06 2015 00:40:00 GMT-0400 (EDT),269.42,269.42,268.87,269.42,26.231099999999998
Mon Jul 06 2015 00:35:00 GMT-0400 (EDT),269.21,269.5,268.9,268.9,6.272999999999998
Mon Jul 06 2015 00:30:00 GMT-0400 (EDT),268.74,269.25,268.59,269.25,15.697399999999996
Mon Jul 06 2015 00:25:00 GMT-0400 (EDT),268.68,268.86,268.57,268.58,4.4582999999999995
Mon Jul 06 2015 00:20:00 GMT-0400 (EDT),268.61,268.85,268.56,268.69,13.476799999999995
Mon Jul 06 2015 00:15:00 GMT-0400 (EDT),268.45,268.61,268.38,268.61,6.955299999999999
Mon Jul 06 2015 00:10:00 GMT-0400 (EDT),268.42,268.45,268.39,268.39,26.418827559999997
Mon Jul 06 2015 00:05:00 GMT-0400 (EDT),268.59,268.59,268.42,268.42,9.418633320000003
Mon Jul 06 2015 00:00:00 GMT-0400 (EDT),268.54,268.6,268.5,268.51,32.10303275000001
Sun Jul 05 2015 23:55:00 GMT-0400 (EDT),268.6,268.6,268.51,268.51,12.821102020000001
Sun Jul 05 2015 23:50:00 GMT-0400 (EDT),268.89,269.08,268.59,268.67,22.1084
Sun Jul 05 2015 23:45:00 GMT-0400 (EDT),268.94,269.82,268.84,268.84,57.12080000000001
Sun Jul 05 2015 23:40:00 GMT-0400 (EDT),268.98,269.11,268.93,269.08,10.746099999999986
Sun Jul 05 2015 23:35:00 GMT-0400 (EDT),268.76,268.97,268.76,268.96,21.176900000000003
Sun Jul 05 2015 23:30:00 GMT-0400 (EDT),269.24,269.42,268.78,268.94,18.35106034
Sun Jul 05 2015 23:25:00 GMT-0400 (EDT),269.23,269.58,268.96,269.57,12.169000000000004
Sun Jul 05 2015 23:20:00 GMT-0400 (EDT),269.38,269.82,268.91,269.32,23.498930230000003
Sun Jul 05 2015 23:15:00 GMT-0400 (EDT),269.58,270,269.2,269.21,52.7696
Sun Jul 05 2015 23:10:00 GMT-0400 (EDT),270,270,269.59,269.99,15.884200000000003
Sun Jul 05 2015 23:05:00 GMT-0400 (EDT),270,270.35,269.59,270.35,34.864599999999996
Sun Jul 05 2015 23:00:00 GMT-0400 (EDT),269.48,270,269.48,270,29.763300000000005
Sun Jul 05 2015 22:55:00 GMT-0400 (EDT),268.92,269.5,268.92,269.49,15.739200000000002
Sun Jul 05 2015 22:50:00 GMT-0400 (EDT),268.88,268.92,268.51,268.91,16.319599999999998
